"Name","Owner","Tier","Score","Pitch","Phone","Email","Email Quality","Reviews","Rating","Website","Site Type","Possible Duplicate Of","Category","Address","All Emails","Profile URL"
"Pierce & Kwok LLP","Anthony Makes","Cool","48","Hi Anthony, you've built a solid foundation (99 reviews, 4.9★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 882-1752","info@piercekwok.com","Role","99","4.9","https://piercekwok.com/","Own site","","Law firm","299 Broadway #1405, New York, NY 10007","info@piercekwok.com","https://www.google.com/maps/place/Pierce+%26+Kwok+LLP/data=!4m7!3m6!1s0x89c2596045937f7d:0xcfaafa81bd3fc907!8m2!3d40.7150606!4d-74.0058265!16s%2Fg%2F1hc7xxh41!19sChIJfX-TRWBZwokRB8k_vYH6qs8?authuser=0&hl=en&rclk=1"
"Raphaelson & Levine Law Firm, P.C.","Should Know","Warm","64","Hi Should, your site is solid. With 716 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 960-3476","","","716","4.8","https://www.raphaelsonlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_midtown_manhattan","Own site","","Law firm","14 Pennsylvania Plaza Ste 1718, New York, NY 10122","","https://www.google.com/maps/place/Raphaelson+%26+Levine+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c259add357548f:0xeaf6e4ad2a5f8043!8m2!3d40.7517816!4d-73.9918095!16s%2Fg%2F1vtqx04l!19sChIJj1RX061ZwokRQ4BfKq3k9uo?authuser=0&hl=en&rclk=1"
"Law Office of Biana Borukhovich, PLLC - Fashion Lawyer NYC - Trademark Attorney New York","","Cool","44","You've built a solid foundation (87 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(347) 450-1811","","","87","5","https://borukhovichlaw.com/","Own site","","Attorney","1460 Broadway, New York, NY 10036","","https://www.google.com/maps/place/Law+Office+of+Biana+Borukhovich,+PLLC+-+Fashion+Lawyer+NYC+-+Trademark+Attorney+New+York/data=!4m7!3m6!1s0x89c244ea7c4aed87:0xada040efc12cd3f6!8m2!3d40.755106!4d-73.986209!16s%2Fg%2F1hc2mpfzd!19sChIJh-1KfOpEwokR9tMswe9AoK0?authuser=0&hl=en&rclk=1"
"The Rothenberg Law Firm Accident And Injury Lawyers","","Cool","54","Your site is solid. With 282 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(516) 715-3658","","","282","4.8","https://injurylawyer.com/new-york/?utm_source=gmblisting&utm_medium=organic&utm_campaign=nyc","Own site","","Law firm","450 7th Ave 44th floor, New York, NY 10123","","https://www.google.com/maps/place/The+Rothenberg+Law+Firm+Accident+And+Injury+Lawyers/data=!4m7!3m6!1s0x89c259ac20927379:0x2fcfcbe700f8b88b!8m2!3d40.7514675!4d-73.9905644!16s%2Fg%2F1ptyn_p30!19sChIJeXOSIKxZwokRi7j4AOfLzy8?authuser=0&hl=en&rclk=1"
"Morelli Law Firm","Benedict Morelli","Cool","54","Hi Benedict, your site is solid. With 197 reviews and 4.5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 762-5221","bmorelli@morellilaw.com","Personal","197","4.5","https://www.morellilaw.com/?utm_source=GBP","Own site","","Law firm","777 3rd Ave 38th Floor, New York, NY 10017","bmorelli@morellilaw.com","https://www.google.com/maps/place/Morelli+Law+Firm/data=!4m7!3m6!1s0x89c258e45456c4d5:0x9529b75c0021709a!8m2!3d40.7546905!4d-73.9711154!16s%2Fg%2F1th5kcf_!19sChIJ1cRWVORYwokRmnAhAFy3KZU?authuser=0&hl=en&rclk=1"
"Cohan Law Firm - New York City Injury & Accident Lawyer","","Warm","64","Your site is solid. With 588 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 601-2693","","","588","5","https://www.cohanlegal.com/","Own site","","Law firm","401 Park Avenue South 10th Floor, New York, NY 10016","","https://www.google.com/maps/place/Cohan+Law+Firm+-+New+York+City+Injury+%26+Accident+Lawyer/data=!4m7!3m6!1s0x89c259a79d0d4a0b:0x1b24939d19a6c90e!8m2!3d40.7429491!4d-73.983881!16s%2Fg%2F11cmg8yv0d!19sChIJC0oNnadZwokRDsmmGZ2TJBs?authuser=0&hl=en&rclk=1"
"Dilendorf Law Firm PLLC","Max Dilendorf","Warm","58","Hi Max, your site is solid. With 210 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 457-9797","domain@dilendorf.com","Personal","210","5","http://dilendorf.com/","Own site","","Law firm","115 Broadway 5th floor, New York, NY 10006","domain@dilendorf.com; info@dilendorf.com","https://www.google.com/maps/place/Dilendorf+Law+Firm+PLLC/data=!4m7!3m6!1s0x89c258ee8344fd7b:0x8af631ecf3355825!8m2!3d40.7088245!4d-74.0112487!16s%2Fg%2F11c5rsskn3!19sChIJe_1Eg-5YwokRJVg18-wx9oo?authuser=0&hl=en&rclk=1"
"Gana Weinstein LLP","","Cool","54","Your site is solid. With 143 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(800) 810-4262","","","143","4.9","https://www.ganalawfirm.com/?utm_source=google&utm_medium=local","Own site","","Law firm","295 Madison Ave #705, New York, NY 10017","","https://www.google.com/maps/place/Gana+Weinstein+LLP/data=!4m7!3m6!1s0x89c259ac20927379:0x97a41b7b2ac77443!8m2!3d40.7518164!4d-73.9793737!16s%2Fg%2F1pp2x6bv2!19sChIJeXOSIKxZwokRQ3THKnsbpJc?authuser=0&hl=en&rclk=1"
"The Law Office of Richard M. Kenny","","Warm","64","Your site is solid. With 361 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(844) 955-4338","","","361","5","https://www.rmkinjurylaw.com/","Own site","","Law firm","363 7th Ave 16th Floor, New York, NY 10001","","https://www.google.com/maps/place/The+Law+Office+of+Richard+M.+Kenny/data=!4m7!3m6!1s0x89c259af2c39895d:0x66a37069fbab00ed!8m2!3d40.7484743!4d-73.9920519!16s%2Fg%2F1td1wc4v!19sChIJXYk5LK9ZwokR7QCr-2lwo2Y?authuser=0&hl=en&rclk=1"
"Law Offices of Nathaniel Muller, PC","","Cool","48","You've built a solid foundation (94 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(646) 774-2895","nm@legalmuller.com","Personal","94","5","https://legalmuller.com/","Own site","","Law firm","420 Lexington Ave #300, New York, NY 10170","nm@legalmuller.com","https://www.google.com/maps/place/Law+Offices+of+Nathaniel+Muller,+PC/data=!4m7!3m6!1s0x89c259a9265cdc0b:0xffcae8e768c9bea0!8m2!3d40.7527814!4d-73.9759322!16s%2Fg%2F1tx47zdv!19sChIJC9xcJqlZwokRoL7JaOfoyv8?authuser=0&hl=en&rclk=1"
"Fisher Stone, P.C.","","Cool","54","Your site is solid. With 203 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 256-1877","","","203","5","https://fisherstonelaw.com/?utm_source=gbp","Own site","","Law firm","42 Broadway #1744, BOWLING GREEN, NY 10004","","https://www.google.com/maps/place/Fisher+Stone,+P.C./data=!4m7!3m6!1s0x89c25900c690a93f:0x3229764e28d304cf!8m2!3d40.7059768!4d-74.0126087!16s%2Fg%2F1ptwh9471!19sChIJP6mQxgBZwokRzwTTKE52KTI?authuser=0&hl=en&rclk=1"
"Greenstein & Pittari, LLP","","Warm","64","Your site is solid. With 814 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 685-8500","","","814","4.9","https://www.nyclawfirm.com/nyc-personal-injury-lawyer/?utm_source=google+&utm_medium=organic&utm_campaign=gbp+&utm_term=New+York+Personal+Injury+Lawyer","Own site","","Greenstein & Pittari, LLP","Personal injury attorney ·  · 1825 Park Ave","","https://www.google.com/maps/place/Greenstein+%26+Pittari,+LLP/data=!4m7!3m6!1s0x89c2f60a53eec2fd:0x7c7fd0ce110c0c4c!8m2!3d40.805205!4d-73.9386147!16s%2Fg%2F1tzgkkzw!19sChIJ_cLuUwr2wokRTAwMEc7Qf3w?authuser=0&hl=en&rclk=1"
"Landskind & Ricaforte Law Group, P.C.","Dedicated Brooklyn","Cool","44","Hi Dedicated, you've built a solid foundation (82 reviews, 4.9★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(718) 333-5007","","","82","4.9","https://www.ricafortelaw.com/","Own site","","Estate planning attorney","269 86th St, Brooklyn, NY 11209","","https://www.google.com/maps/place/Landskind+%26+Ricaforte+Law+Group,+P.C./data=!4m7!3m6!1s0x89c24ff586d0ffed:0xfbda2df6dd3d8bba!8m2!3d40.62377!4d-74.031571!16s%2Fg%2F11gh04rjbw!19sChIJ7f_QhvVPwokRuos93fYt2vs?authuser=0&hl=en&rclk=1"
"Friedman, James & Buchsbaum LLP","","Skip","8","Friedman, James & Buchsbaum LLP is early-stage — most growth services don't make ROI sense yet. Worth circling back once you're past 50+ reviews. If you're focused on review velocity right now, happy to share what works.","(212) 233-9385","abuchsbaum@friedmanjames.com","Personal","1","3","http://www.friedmanjames.com/","Own site","","Law firm","15 Maiden Ln Ste 1202, New York, NY 10038","abuchsbaum@friedmanjames.com; bfriedman@friedmanjames.com; jjames@friedmanjames.com","https://www.google.com/maps/place/Friedman,+James+%26+Buchsbaum+LLP/data=!4m7!3m6!1s0x89c25a1878ae8721:0x7661b56f98ed50a9!8m2!3d40.709505!4d-74.009131!16s%2Fg%2F1wd3wzgk!19sChIJIYeueBhawokRqVDtmG-1YXY?authuser=0&hl=en&rclk=1"
"Robison Lemon Law Group LLC","","Warm","58","Your site is solid. With 165 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(833) 422-7529","emma@lemonlawcar.com","Personal","165","4.8","https://lemonlawcar.com/new-york/?utm_source=google&utm_medium=organic&utm_campaign=gmb_location_new_york_city","Own site","","Law firm","276 5th Ave Ste 704-767, New York, NY 10001","emma@lemonlawcar.com","https://www.google.com/maps/place/Robison+Lemon+Law+Group+LLC/data=!4m7!3m6!1s0x89c2596091e1da8f:0xff4961de0b62fe18!8m2!3d40.745964!4d-73.986906!16s%2Fg%2F11gmbj3st1!19sChIJj9rhkWBZwokRGP5iC95hSf8?authuser=0&hl=en&rclk=1"
"Pitcoff Law Group, PC","","Warm","58","Your site is solid. With 222 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 859-6264","info@pitcofflawgroup.com","Role","222","4.9","http://www.pitcofflawgroup.com/","Own site","","Business attorney","230 Park Ave 3rd Floor West, New York, NY 10169","info@pitcofflawgroup.com","https://www.google.com/maps/place/Pitcoff+Law+Group,+PC/data=!4m7!3m6!1s0x89c259a79e1d5e6f:0x1ffab9f6bd1d175e!8m2!3d40.7544726!4d-73.9759622!16s%2Fg%2F11f1wlyll2!19sChIJb14dnqdZwokRXhcdvfa5-h8?authuser=0&hl=en&rclk=1"
"NYIS Law Firm","","Warm","64","Your site is solid. With 430 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 987-6666","","","430","4.9","https://nyislaw.com/","Own site","","NYIS Law Firm","Law firm ·  · 285 Fulton St Ste 8500","","https://www.google.com/maps/place/NYIS+Law+Firm/data=!4m7!3m6!1s0x89c260102910c3c3:0x49e6ad0fb909191f!8m2!3d40.713638!4d-74.0087211!16s%2Fg%2F11g9dpszr0!19sChIJw8MQKRBgwokRHxkJuQ-t5kk?authuser=0&hl=en&rclk=1"
"Hansen & Rosasco, LLP","","Warm","68","Your site is solid. With 417 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 210-1762","info@911victimlawyer.com","Role","417","4.9","https://www.911victimlawyer.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing","Own site","","Law firm","250 Broadway Ste 600, New York, NY 10007","info@911victimlawyer.com","https://www.google.com/maps/place/Hansen+%26+Rosasco,+LLP/data=!4m7!3m6!1s0x89c258fd4c560355:0x95321b52881207ae!8m2!3d40.7130079!4d-74.0078212!16s%2Fg%2F11cm0klz_n!19sChIJVQNWTP1YwokRrgcSiFIbMpU?authuser=0&hl=en&rclk=1"
"Jia Law Group, P.C.","","Warm","58","Your site is solid. With 279 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(347) 897-6199","info@jiaesq.com","Role","279","4.8","http://www.jialawgroup.com/","Own site","","Jia Law Group, P.C.","Law firm ·  · 88 Pine St 18th Floor","info@jiaesq.com","https://www.google.com/maps/place/Jia+Law+Group,+P.C./data=!4m7!3m6!1s0x89c25a18f7f77321:0x4597ef3863459341!8m2!3d40.7056685!4d-74.0060959!16s%2Fg%2F11cllkt7b6!19sChIJIXP39xhawokRQZNFYzjvl0U?authuser=0&hl=en&rclk=1"
"Michael Block, Attorney At Law P.C.","","Warm","64","Your site is solid. With 2592 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 227-9008","","","2592","4.8","https://www.michaelblocklawyer.com/","Own site","","Michael Block, Attorney At Law P.C.","Criminal justice attorney ·  · 277 Broadway #708","","https://www.google.com/maps/place/Michael+Block,+Attorney+At+Law+P.C./data=!4m7!3m6!1s0x89c25a21fc508b25:0xabc8bd2e172537df!8m2!3d40.7143278!4d-74.0040906!16s%2Fg%2F1tfwqwzw!19sChIJJYtQ_CFawokR3zclFy69yKs?authuser=0&hl=en&rclk=1"
"Samuel Law Firm","","Warm","58","Your site is solid. With 231 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(516) 957-2131","michael@thesamuellawfirm.com","Personal","231","4.8","https://thesamuellawfirm.com/?utm_campaign=gmb","Own site","","Samuel Law Firm","Employment attorney ·  · 38 W 32nd St #1110","michael@thesamuellawfirm.com","https://www.google.com/maps/place/Samuel+Law+Firm/data=!4m7!3m6!1s0x89c259a8dd8ac6f1:0xd773a0c801ba6967!8m2!3d40.7474617!4d-73.9876476!16s%2Fg%2F1tcz9728!19sChIJ8caK3ahZwokRZ2m6Acigc9c?authuser=0&hl=en&rclk=1"
"Gouchev Law","","Cool","54","Your site is solid. With 101 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 537-9209","","","101","5","https://gouchevlaw.com/","Own site","","Law firm","45 Rockefeller Plaza, New York, NY 10111","","https://www.google.com/maps/place/Gouchev+Law/data=!4m7!3m6!1s0x89c258feac584531:0x519bc9380de6e39c!8m2!3d40.7588063!4d-73.9788317!16s%2Fg%2F11b6ljf8ps!19sChIJMUVYrP5YwokRnOPmDTjJm1E?authuser=0&hl=en&rclk=1"
"The Perecman Firm, P.L.L.C.","","Warm","64","Your site is solid. With 730 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 536-2089","","","730","4.9","https://www.perecman.com/personal-injury-lawyer/?utm_source=google+business+profile&utm_medium=website+link&utm_campaign=manhattan","Own site","","Law firm","250 W 57th St #401, New York, NY 10107","","https://www.google.com/maps/place/The+Perecman+Firm,+P.L.L.C./data=!4m7!3m6!1s0x89c258f7e7a41635:0x1edc2f8b4de227b0!8m2!3d40.7662801!4d-73.9824591!16s%2Fg%2F1tf491ns!19sChIJNRak5_dYwokRsCfiTYsv3B4?authuser=0&hl=en&rclk=1"
"Paykin Law","","Warm","58","Your site is solid. With 103 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 858-9112","contact@paykinlaw.net","Role","103","4.9","https://www.paykinlaw.net/","Own site","","Paykin Law","Law firm ·  · 45 Rockefeller Plaza 20th Floor","contact@paykinlaw.net","https://www.google.com/maps/place/Paykin+Law/data=!4m7!3m6!1s0x89c259a9a93ba655:0x306876f7f18d5371!8m2!3d40.7592015!4d-73.9778103!16s%2Fg%2F11xj28ct1!19sChIJVaY7qalZwokRcVON8fd2aDA?authuser=0&hl=en&rclk=1"
"Derek Smith Law Group, PLLC","","Warm","64","Your site is solid. With 337 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(800) 807-2209","","","337","4.9","https://discriminationandsexualharassmentlawyers.com/new-york-city?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=new-york-city","Own site","","Law firm","The Nelson Tower, 450 7th Ave 30th Floor, New York, NY 10123","","https://www.google.com/maps/place/Derek+Smith+Law+Group,+PLLC/data=!4m7!3m6!1s0x89c25a16c7d34709:0x8e699f9cf5dfa9e1!8m2!3d40.7513168!4d-73.9906115!16s%2Fg%2F1tg9jghx!19sChIJCUfTxxZawokR4anf9ZyfaY4?authuser=0&hl=en&rclk=1"
"MooreJustice New York City Accident & Injury Lawyers","","Warm","58","Your site is solid. With 278 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(917) 993-5116","info@injurylawatty.com","Role","278","5","https://www.injurylawatty.com/?utm_source=google&utm_medium=organic-local&utm_campaign=New_York_City","Own site","","Law firm","171 Madison Ave Ste 305, New York, NY 10016","info@injurylawatty.com","https://www.google.com/maps/place/MooreJustice+New+York+City+Accident+%26+Injury+Lawyers/data=!4m7!3m6!1s0x89c25bd70f8e73e9:0x7f15e383c214195f!8m2!3d40.7472033!4d-73.9831256!16s%2Fg%2F11fkk_lrfk!19sChIJ6XOOD9dbwokRXxkUwoPjFX8?authuser=0&hl=en&rclk=1"
"Fridman Law Firm PLLC","Attorneys Neil","Cool","44","Hi Attorneys, you've built a solid foundation (60 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 262-9823","","","60","5","https://www.fridmanlawfirm.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gpb","Own site","","Law firm","251 W 30th St Ste 604, New York, NY 10001","","https://www.google.com/maps/place/Fridman+Law+Firm+PLLC/data=!4m7!3m6!1s0x89c25907bfd1f95b:0x33d5357283d9d49b!8m2!3d40.7493629!4d-73.9942691!16s%2Fg%2F11frtg7cbx!19sChIJW_nRvwdZwokRm9TZg3I11TM?authuser=0&hl=en&rclk=1"
"Koch Law, PLLC","","Cool","54","Your site is solid. With 117 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(929) 822-7778","","","117","4.9","https://www.nydefensecounsel.com/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local","Own site","","Law firm","521 5th Ave 17th Floor Suite 1712, New York, NY 10175","","https://www.google.com/maps/place/Koch+Law,+PLLC/data=!4m7!3m6!1s0x89c258fe28b8aaa1:0x5ad317b2c40861e4!8m2!3d40.7542443!4d-73.9801271!16s%2Fg%2F11c6zz3081!19sChIJoaq4KP5YwokR5GEIxLIX01o?authuser=0&hl=en&rclk=1"
